Date,Open,High,Low,Close,Tick Count,Volume
01/05/2024 14:30,169.58,170.27,169.55,170.00,1563,704606
01/05/2024 14:31,170.08,170.19,169.65,169.77,992,194725
01/05/2024 14:32,169.78,170.00,169.62,169.62,617,110680
01/05/2024 14:33,169.63,169.80,169.35,169.35,892,203403
01/05/2024 14:34,169.35,169.47,169.11,169.12,1026,254573
01/05/2024 14:35,169.12,169.76,169.11,169.54,640,123039
01/05/2024 14:36,169.54,169.83,169.46,169.66,575,118896
01/05/2024 14:37,169.64,169.76,169.58,169.68,401,68506
01/05/2024 14:38,169.69,169.84,169.58,169.75,363,76942
01/05/2024 14:39,169.77,169.78,169.51,169.63,391,68251
01/05/2024 14:40,169.63,169.70,169.57,169.70,405,68612
01/05/2024 14:41,169.71,169.98,169.71,169.98,489,101086
01/05/2024 14:42,169.98,170.08,169.81,169.81,683,121697
01/05/2024 14:43,169.81,170.00,169.78,170.00,432,88340
01/05/2024 14:44,170.00,170.36,170.00,170.30,664,133496
01/05/2024 14:45,170.29,170.41,170.18,170.40,373,84197
01/05/2024 14:46,170.40,170.48,170.26,170.26,618,129434
01/05/2024 14:47,170.27,170.45,170.25,170.26,356,73222
01/05/2024 14:48,170.24,170.55,170.24,170.54,472,84485
01/05/2024 14:49,170.54,170.56,170.40,170.54,503,96314
01/05/2024 14:50,170.54,170.64,170.45,170.52,418,83402
01/05/2024 14:51,170.52,170.58,170.45,170.49,303,52983
01/05/2024 14:52,170.49,170.58,170.32,170.36,418,88239
01/05/2024 14:53,170.37,170.39,170.27,170.33,386,76212
01/05/2024 14:54,170.32,170.57,170.32,170.54,465,79961
01/05/2024 14:55,170.54,170.56,170.33,170.36,294,58622
01/05/2024 14:56,170.36,170.46,170.32,170.35,328,62511
01/05/2024 14:57,170.34,170.38,170.25,170.25,322,65114
01/05/2024 14:58,170.25,170.49,170.25,170.46,286,62496
01/05/2024 14:59,170.46,170.47,170.28,170.37,319,72640
01/05/2024 15:00,170.34,170.46,170.17,170.34,640,112618
01/05/2024 15:01,170.32,170.84,170.32,170.65,761,175589
01/05/2024 15:02,170.65,170.95,170.55,170.81,730,131185
01/05/2024 15:03,170.79,170.84,170.53,170.55,457,89713
01/05/2024 15:04,170.55,170.56,170.37,170.40,644,107556
01/05/2024 15:05,170.41,170.68,170.37,170.64,293,72657
01/05/2024 15:06,170.64,170.68,170.51,170.58,296,65541
01/05/2024 15:07,170.57,170.64,170.51,170.61,230,41481
01/05/2024 15:08,170.60,170.70,170.55,170.57,211,38234
01/05/2024 15:09,170.57,170.65,170.52,170.57,239,56351
01/05/2024 15:10,170.58,170.69,170.51,170.64,277,53927
01/05/2024 15:11,170.66,170.81,170.66,170.74,314,54549
01/05/2024 15:12,170.73,170.77,170.67,170.75,339,62367
01/05/2024 15:13,170.76,170.85,170.72,170.84,436,84746
01/05/2024 15:14,170.83,170.91,170.76,170.78,302,59290
01/05/2024 15:15,170.77,170.96,170.77,170.92,361,77672
01/05/2024 15:16,170.93,171.06,170.92,171.03,548,119389
